Entry_ID,Domesticated,IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,General_Category_or_Family,C4_Plant,Sampled_Element,Cultural_Horizon,Species,Site_Description,Genus,Absolute_Chronology,General_Category_or_Family.1,Modern_Country,cronologia,%C,%N,C:N,peso_mg,pre-treatment,contexto,method
69,yes,-25.7,0.8,43.894131,5.114862,Fabaceae,no,Seed,Recent Chasséen,sativa,Open-air site,Vicia ,4500 - 4000 BCE ; 4000 - 3500 BCE,Fabaceae,France,,,,,,,,
70,yes,-24.8,1.2,43.894131,5.114862,Fabaceae,no,Seed,Recent Chasséen,sativa,Open-air site,Vicia ,4500 - 4000 BCE ; 4000 - 3500 BCE,Fabaceae,France,,,,,,,,
71,yes,-22.5,4.2,43.894131,5.114862,Poaceae,no,Seed,Recent Chasséen,dicoccum,Open-air site,Triticum ,4500 - 4000 BCE ; 4000 - 3500 BCE,Poaceae,France,,,,,,,,
72,yes,-22.3,3.5,43.894131,5.114862,Poaceae,no,Seed,Recent Chasséen,aestivum/turgidum,Open-air site,Triticum,4500 - 4000 BCE ; 4000 - 3500 BCE,Poaceae,France,,,,,,,,
73,yes,-22.4,4.0,43.894131,5.114862,Poaceae,no,Seed,Recent Chasséen,aestivum/turgidum,Open-air site,Triticum,4500 - 4000 BCE ; 4000 - 3500 BCE,Poaceae,France,,,,,,,,
74,yes,-22.1,2.7,43.564007,6.232571,Poaceae,no,Seed,Recent Chasséen,dicoccum,Rock shelter,Triticum ,,Poaceae,France,,,,,,,,
75,yes,-23.2,6.0,43.564007,6.232571,Poaceae,no,Seed,Recent Chasséen,dicoccum,Rock shelter,Triticum ,,Poaceae,France,,,,,,,,
76,yes,-23.1,3.1,43.632983,3.897505,Poaceae,no,Seed,Recent Chasséen,aestivum/turgidum,Open-air site,Triticum,4000 - 3500 BCE,Poaceae,France,,,,,,,,
77,yes,-22.0,2.9,43.632983,3.897505,Poaceae,no,Seed,Recent Chasséen,aestivum/turgidum,Open-air site,Triticum,4000 - 3500 BCE,Poaceae,France,,,,,,,,
78,yes,-21.7,6.4,43.446908,5.685143,Poaceae,no,Seed,Recent Chasséen ; Final Chasséen,monococcum,Open-air site,Triticum,4000 - 3500 BCE ; 3500 - 3000 BCE,Poaceae,France,,,,,,,,
79,yes,-22.0,3.1,43.446908,5.685143,Poaceae,no,Seed,Recent Chasséen ; Final Chasséen,monococcum,Open-air site,Triticum,4000 - 3500 BCE ; 3500 - 3000 BCE,Poaceae,France,,,,,,,,
80,yes,-22.1,4.6,43.446908,5.685143,Poaceae,no,Seed,Recent Chasséen ; Final Chasséen,dicoccum,Open-air site,Triticum ,4000 - 3500 BCE ; 3500 - 3000 BCE,Poaceae,France,,,,,,,,
81,yes,-21.0,6.4,43.446908,5.685143,Poaceae,no,Seed,Recent Chasséen ; Final Chasséen,dicoccum,Open-air site,Triticum ,4000 - 3500 BCE ; 3500 - 3000 BCE,Poaceae,France,,,,,,,,
82,yes,-22.4,6.3,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,monococcum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
83,yes,-21.9,7.2,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,monococcum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
84,yes,-22.6,7.0,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,dicoccum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
85,yes,-22.3,7.5,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,dicoccum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
86,yes,-22.2,7.3,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,durum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
87,yes,-22.6,6.3,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,durum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
88,yes,-23.5,6.4,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,vulgare,Settlement,Hordeum,500 BCE - 0,Poaceae,Spain,,,,,,,,
89,yes,-23.4,6.5,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,vulgare,Settlement,Hordeum,500 BCE - 0,Poaceae,Spain,,,,,,,,
90,yes,-21.7,7.9,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,monococcum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
91,yes,-21.7,7.1,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,monococcum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
92,yes,-22.3,7.4,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,dicoccum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
93,yes,-21.6,7.3,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,dicoccum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
94,yes,-22.0,8.5,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,spelta,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
95,yes,-21.6,7.5,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,spelta,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
96,yes,-22.4,7.5,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,vulgare,Settlement,Hordeum,500 BCE - 0,Poaceae,Spain,,,,,,,,
97,yes,-22.3,6.7,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,dicoccum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
98,yes,-22.5,6.6,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,dicoccum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
