IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,Chronological_Period_clean,Mediterranean_Basin
-22.36,5.09,37.15237,-1.894537,Middle_Late_Bronze_Age,Western_Med
-24.3,0.7,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.2,1.4,43.56809,3.903367,Late_Iron_Age,Western_Med
-24.1,-0.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.84,5.67,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-26.4,0.08,35.625,38.755556,Other,Eastern_Med
-22.36,6.14,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-23.78,4.24,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-23.8,-1.6,34.990897,32.905029,Neolithic,Eastern_Med
-21.9,7.2,42.542984,-2.580537,Late_Iron_Age,Western_Med
-24.9,3.4,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.3,1.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.8,1.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.6,2.7,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-10.9,8.7,43.568087,3.903364,Late_Iron_Age,Western_Med
-23.4,5.8,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-21.72,2.73,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-20.2,4.6,37.062972,22.420611,Late_Neolithic,Central_Med
-23.94,2.7,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-25.01,-2.9,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-24.4,2.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.23,2.16,38.123229,27.147217,Chalcolithic,Eastern_Med
-23.3,1.8,35.2994728,25.1616528,Neolithic,Eastern_Med
-22.78,-0.92,34.979914,33.202758,Other,Eastern_Med
-23.66,4.46,35.2994728,25.1616528,Late_Neolithic,Eastern_Med
-25.02,-0.8,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-24.6,2.6,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-21.92,2.9,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-25.1,1.3,37.062972,22.420611,Late_Neolithic,Central_Med
-23.1,2.4,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-22.8,1.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.3,2.0,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-22.3,8.3,29.32,-9.44,Other,Western_Med
-22.7,2.4,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-23.2,1.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.3,2.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.08,4.38,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-22.75,3.2,40.418422,22.591694,Late_Neolithic,Central_Med
-23.04,2.72,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-22.7,2.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-25.7,3.06,34.569444,38.356111,Other,Eastern_Med
-22.3,2.4,36.667179,41.058576,Early_Bronze_Age,Eastern_Med
-22.7,1.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.2,1.8,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-25.9,1.5,,,Other,unknown
-23.49,2.4,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-24.2,2.1,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-25.3,-0.4,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.5,2.4,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.5,3.5,42.542984,-2.580537,Late_Iron_Age,Western_Med
-23.23,1.41,38.285047,26.702271,Chalcolithic,Eastern_Med
-23.3,1.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.64,3.45,38.285047,26.702271,Chalcolithic,Eastern_Med
-21.7,1.6,37.062972,22.420611,Late_Neolithic,Central_Med
-21.77,3.26,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-23.17,4.23,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-23.5,4.8,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.6,6.1,35.2994728,25.1616528,Neolithic,Eastern_Med
-23.4,1.0,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-21.32,4.62,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-22.9,1.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.33,3.15,35.798885,36.798413,Early_Bronze_Age,Eastern_Med
-24.1,4.1,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-24.1,0.1,41.8857261,12.7156425,Late_Iron_Age,Central_Med
0.64,0.08,35.29848,25.159555,Early_Iron_Age,Eastern_Med
-22.8,2.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-26.28,4.48,34.569444,38.356111,Other,Eastern_Med
-23.49,2.86,38.285047,26.702271,Chalcolithic,Eastern_Med
-23.89,6.77,37.15237,-1.894537,Middle_Late_Bronze_Age,Western_Med
-23.7,4.5,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.4,1.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.0,3.1,43.446908,5.685143,Chalcolithic,Western_Med
-25.39,-1.62,34.997092,33.211278,Other,Eastern_Med
-22.3,7.4,42.542984,-2.580537,Late_Iron_Age,Western_Med
-23.0,5.0,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-24.6,-2.4,37.062972,22.420611,Late_Neolithic,Central_Med
-26.0,1.6,41.496667,13.489629,Early_Bronze_Age,Central_Med
-23.52,0.37,35.580556,35.816667,Other,Eastern_Med
-23.4,0.1,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-25.8,14.7,29.24,-9.19,Other,Western_Med
-23.0,2.7,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.8,-0.8,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.31,4.05,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-21.93,5.95,35.798885,36.798413,Early_Bronze_Age,Eastern_Med
-21.3,8.15,37.15237,-1.894537,Middle_Late_Bronze_Age,Western_Med
-22.64,3.95,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-23.7,2.4,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.6,6.9,42.542984,-2.580537,Late_Iron_Age,Western_Med
-23.54,3.18,35.2994728,25.1616528,Late_Neolithic,Eastern_Med
-22.28,2.86,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-21.98,4.83,38.285047,26.702271,Chalcolithic,Eastern_Med
-24.4,0.3,37.062972,22.420611,Late_Neolithic,Central_Med
-23.1,5.2,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-23.7,-0.1,33.216667,36.416667,Other,Eastern_Med
-25.2,1.6,41.496667,13.489629,Early_Bronze_Age,Central_Med
-23.27,1.37,38.285047,26.702271,Chalcolithic,Eastern_Med
-24.1,-1.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.5,5.5,36.667179,41.058576,Early_Bronze_Age,Eastern_Med
-24.6,2.1,41.496667,13.489629,Early_Bronze_Age,Central_Med
-23.1,1.6,36.667179,41.058576,Early_Bronze_Age,Eastern_Med
-22.8,0.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.6,1.2,44.413343,9.162563,Chalcolithic,Western_Med
-23.07,4.79,35.2994728,25.1616528,Late_Neolithic,Eastern_Med
0.64,0.08,35.29848,25.159555,Early_Iron_Age,Eastern_Med
-21.22,2.37,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-25.14,-1.1,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-24.3,1.9,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-23.6,0.2,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-25.88,5.35,35.026578,33.249228,Other,Eastern_Med
-10.6,10.3,42.542984,-2.580537,Late_Iron_Age,Western_Med
