Entry_ID,Archaeological_Site,IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,General_Category_or_Family,Sampled_Element,Cultural_Horizon,Species,Genus,Absolute_Chronology,Modern_Country,Mediterranean_Basin,Fecha_Min_BP_corr,Fecha_Max_BP_corr,Chronological_Period_corr,Chronological_Period_clean,Cereal
64,Font aux pigeons,-23.4,6.2,43.38296,5.164636,Poaceae,Seed,,vulgare,Hordeum,5500 - 5000 BCE ; 5000 - 4500 BCE,France,Western_Med,7450.0,6950.0,Neolithic_Late,Late_Neolithic,barley
65,Font aux pigeons,-23.0,6.3,43.38296,5.164636,Poaceae,Seed,,vulgare,Hordeum,5500 - 5000 BCE ; 5000 - 4500 BCE,France,Western_Med,7450.0,6950.0,Neolithic_Late,Late_Neolithic,barley
66,Font aux pigeons,-21.9,7.9,43.38296,5.164636,Poaceae,Seed,,aestivum/turgidum,Triticum,5500 - 5000 BCE ; 5000 - 4500 BCE,France,Western_Med,7450.0,6950.0,Neolithic_Late,Late_Neolithic,wheat
67,Claparouse,-24.1,0.9,43.894131,5.114862,Fabaceae,Seed,Recent Chasséen,sativa,Vicia ,4500 - 4000 BCE ; 4000 - 3500 BCE,France,Western_Med,6450.0,5950.0,Neolithic_Late,Late_Neolithic,other
68,Claparouse,-23.9,1.1,43.894131,5.114862,Fabaceae,Seed,Recent Chasséen,sativa,Vicia ,4500 - 4000 BCE ; 4000 - 3500 BCE,France,Western_Med,6450.0,5950.0,Neolithic_Late,Late_Neolithic,other
69,Claparouse,-25.7,0.8,43.894131,5.114862,Fabaceae,Seed,Recent Chasséen,sativa,Vicia ,4500 - 4000 BCE ; 4000 - 3500 BCE,France,Western_Med,6450.0,5950.0,Neolithic_Late,Late_Neolithic,other
70,Claparouse,-24.8,1.2,43.894131,5.114862,Fabaceae,Seed,Recent Chasséen,sativa,Vicia ,4500 - 4000 BCE ; 4000 - 3500 BCE,France,Western_Med,6450.0,5950.0,Neolithic_Late,Late_Neolithic,other
71,Claparouse,-22.5,4.2,43.894131,5.114862,Poaceae,Seed,Recent Chasséen,dicoccum,Triticum ,4500 - 4000 BCE ; 4000 - 3500 BCE,France,Western_Med,6450.0,5950.0,Neolithic_Late,Late_Neolithic,wheat
72,Claparouse,-22.3,3.5,43.894131,5.114862,Poaceae,Seed,Recent Chasséen,aestivum/turgidum,Triticum,4500 - 4000 BCE ; 4000 - 3500 BCE,France,Western_Med,6450.0,5950.0,Neolithic_Late,Late_Neolithic,wheat
73,Claparouse,-22.4,4.0,43.894131,5.114862,Poaceae,Seed,Recent Chasséen,aestivum/turgidum,Triticum,4500 - 4000 BCE ; 4000 - 3500 BCE,France,Western_Med,6450.0,5950.0,Neolithic_Late,Late_Neolithic,wheat
